algorithm, size, time
quickSelect, 100, 0.002018
heapSelect, 100, 0.002003
medianMediansSelect, 100, 0.002004
quickSelect, 111, 0.002019
heapSelect, 111, 0.002003
medianMediansSelect, 111, 0.002004
quickSelect, 124, 0.002024
heapSelect, 124, 0.002003
medianMediansSelect, 124, 0.002004
quickSelect, 138, 0.002027
heapSelect, 138, 0.002003
medianMediansSelect, 138, 0.002005
quickSelect, 154, 0.002031
heapSelect, 154, 0.002003
medianMediansSelect, 154, 0.002005
quickSelect, 172, 0.002038
heapSelect, 172, 0.002003
medianMediansSelect, 172, 0.002005
quickSelect, 192, 0.002051
heapSelect, 192, 0.002004
medianMediansSelect, 192, 0.002005
quickSelect, 214, 0.002053
heapSelect, 214, 0.002003
medianMediansSelect, 214, 0.002008
quickSelect, 239, 0.002068
heapSelect, 239, 0.002003
medianMediansSelect, 239, 0.002006
quickSelect, 267, 0.002075
heapSelect, 267, 0.002003
medianMediansSelect, 267, 0.002006
quickSelect, 298, 0.002094
heapSelect, 298, 0.002003
medianMediansSelect, 298, 0.002006
quickSelect, 332, 0.002103
heapSelect, 332, 0.002003
medianMediansSelect, 332, 0.002007
quickSelect, 371, 0.002133
heapSelect, 371, 0.002003
medianMediansSelect, 371, 0.002008
quickSelect, 414, 0.002162
heapSelect, 414, 0.002004
medianMediansSelect, 414, 0.002008
quickSelect, 461, 0.002188
heapSelect, 461, 0.002003
medianMediansSelect, 461, 0.002008
quickSelect, 515, 0.002212
heapSelect, 515, 0.002004
medianMediansSelect, 515, 0.002008
quickSelect, 574, 0.002287
heapSelect, 574, 0.002004
medianMediansSelect, 574, 0.002009
quickSelect, 641, 0.002366
heapSelect, 641, 0.002005
medianMediansSelect, 641, 0.002011
quickSelect, 715, 0.002376
heapSelect, 715, 0.002005
medianMediansSelect, 715, 0.002011
quickSelect, 797, 0.002539
heapSelect, 797, 0.002005
medianMediansSelect, 797, 0.002012
quickSelect, 889, 0.002513
heapSelect, 889, 0.002005
medianMediansSelect, 889, 0.002013
quickSelect, 992, 0.002593
heapSelect, 992, 0.002006
medianMediansSelect, 992, 0.002013
quickSelect, 1107, 0.002650
heapSelect, 1107, 0.002005
medianMediansSelect, 1107, 0.002015
quickSelect, 1235, 0.002761
heapSelect, 1235, 0.002008
medianMediansSelect, 1235, 0.002016
quickSelect, 1377, 0.002719
heapSelect, 1377, 0.002007
medianMediansSelect, 1377, 0.002019
quickSelect, 1536, 0.002863
heapSelect, 1536, 0.002007
medianMediansSelect, 1536, 0.002021
quickSelect, 1714, 0.002937
heapSelect, 1714, 0.002008
medianMediansSelect, 1714, 0.002023
quickSelect, 1912, 0.003004
heapSelect, 1912, 0.002007
medianMediansSelect, 1912, 0.002025
quickSelect, 2133, 0.003056
heapSelect, 2133, 0.002008
medianMediansSelect, 2133, 0.002035
quickSelect, 2379, 0.003213
heapSelect, 2379, 0.002009
medianMediansSelect, 2379, 0.002033
quickSelect, 2654, 0.003201
heapSelect, 2654, 0.002010
medianMediansSelect, 2654, 0.002037
quickSelect, 2960, 0.003315
heapSelect, 2960, 0.002012
medianMediansSelect, 2960, 0.002038
quickSelect, 3302, 0.003312
heapSelect, 3302, 0.002011
medianMediansSelect, 3302, 0.002043
quickSelect, 3684, 0.003492
heapSelect, 3684, 0.002012
medianMediansSelect, 3684, 0.002046
quickSelect, 4109, 0.003636
heapSelect, 4109, 0.002014
medianMediansSelect, 4109, 0.002057
quickSelect, 4584, 0.003701
heapSelect, 4584, 0.002015
medianMediansSelect, 4584, 0.002059
quickSelect, 5113, 0.003749
heapSelect, 5113, 0.002017
medianMediansSelect, 5113, 0.002073
quickSelect, 5704, 0.003911
heapSelect, 5704, 0.002018
medianMediansSelect, 5704, 0.002070
quickSelect, 6362, 0.003994
heapSelect, 6362, 0.002019
medianMediansSelect, 6362, 0.002088
quickSelect, 7097, 0.003739
heapSelect, 7097, 0.002024
medianMediansSelect, 7097, 0.002084
quickSelect, 7917, 0.004000
heapSelect, 7917, 0.002024
medianMediansSelect, 7917, 0.002105
quickSelect, 8831, 0.004139
heapSelect, 8831, 0.002026
medianMediansSelect, 8831, 0.002121
quickSelect, 9851, 0.004342
heapSelect, 9851, 0.002024
medianMediansSelect, 9851, 0.002117
quickSelect, 10989, 0.004704
heapSelect, 10989, 0.002031
medianMediansSelect, 10989, 0.002135
quickSelect, 12258, 0.004840
heapSelect, 12258, 0.002036
medianMediansSelect, 12258, 0.002129
quickSelect, 13673, 0.004771
heapSelect, 13673, 0.002042
medianMediansSelect, 13673, 0.002198
quickSelect, 15253, 0.005103
heapSelect, 15253, 0.002044
medianMediansSelect, 15253, 0.002181
quickSelect, 17014, 0.005153
heapSelect, 17014, 0.002051
medianMediansSelect, 17014, 0.002234
quickSelect, 18979, 0.005325
heapSelect, 18979, 0.002065
medianMediansSelect, 18979, 0.002260
quickSelect, 21171, 0.005426
heapSelect, 21171, 0.002076
medianMediansSelect, 21171, 0.002303
quickSelect, 23616, 0.005009
heapSelect, 23616, 0.002072
medianMediansSelect, 23616, 0.002276
quickSelect, 26343, 0.005569
heapSelect, 26343, 0.002060
medianMediansSelect, 26343, 0.002412
quickSelect, 29386, 0.005040
heapSelect, 29386, 0.002093
medianMediansSelect, 29386, 0.002386
quickSelect, 32780, 0.004631
heapSelect, 32780, 0.002100
medianMediansSelect, 32780, 0.002418
quickSelect, 36565, 0.004946
heapSelect, 36565, 0.002117
medianMediansSelect, 36565, 0.002566
quickSelect, 40788, 0.005741
heapSelect, 40788, 0.002133
medianMediansSelect, 40788, 0.002728
quickSelect, 45499, 0.005445
heapSelect, 45499, 0.002143
medianMediansSelect, 45499, 0.002671
quickSelect, 50753, 0.005794
heapSelect, 50753, 0.002117
medianMediansSelect, 50753, 0.002511
quickSelect, 56615, 0.005869
heapSelect, 56615, 0.002173
medianMediansSelect, 56615, 0.002641
quickSelect, 63153, 0.006175
heapSelect, 63153, 0.002184
medianMediansSelect, 63153, 0.003116
quickSelect, 70446, 0.005878
heapSelect, 70446, 0.002209
medianMediansSelect, 70446, 0.003598
quickSelect, 78582, 0.006454
heapSelect, 78582, 0.002254
medianMediansSelect, 78582, 0.003821
quickSelect, 87657, 0.006747
heapSelect, 87657, 0.002244
medianMediansSelect, 87657, 0.004239
quickSelect, 97780, 0.006543
heapSelect, 97780, 0.002316
medianMediansSelect, 97780, 0.004690
quickSelect, 109073, 0.006679
heapSelect, 109073, 0.002300
medianMediansSelect, 109073, 0.005420
quickSelect, 121669, 0.005734
heapSelect, 121669, 0.002385
medianMediansSelect, 121669, 0.006101
quickSelect, 135720, 0.005149
heapSelect, 135720, 0.002414
medianMediansSelect, 135720, 0.006678
quickSelect, 151394, 0.004766
heapSelect, 151394, 0.002446
medianMediansSelect, 151394, 0.007602
quickSelect, 168878, 0.005282
heapSelect, 168878, 0.002538
medianMediansSelect, 168878, 0.008759
quickSelect, 188382, 0.004946
heapSelect, 188382, 0.002633
medianMediansSelect, 188382, 0.009942
quickSelect, 210137, 0.004870
heapSelect, 210137, 0.002722
medianMediansSelect, 210137, 0.010743
quickSelect, 234405, 0.004943
heapSelect, 234405, 0.002798
medianMediansSelect, 234405, 0.011623
quickSelect, 261476, 0.005142
heapSelect, 261476, 0.003152
medianMediansSelect, 261476, 0.014269
quickSelect, 291673, 0.005299
heapSelect, 291673, 0.003411
medianMediansSelect, 291673, 0.015555
quickSelect, 325357, 0.005572
heapSelect, 325357, 0.003591
medianMediansSelect, 325357, 0.016686
quickSelect, 362932, 0.005520
heapSelect, 362932, 0.004142
medianMediansSelect, 362932, 0.019083
quickSelect, 404846, 0.006436
heapSelect, 404846, 0.004972
medianMediansSelect, 404846, 0.021823
quickSelect, 451600, 0.007245
heapSelect, 451600, 0.005017
medianMediansSelect, 451600, 0.023212
quickSelect, 503754, 0.010008
heapSelect, 503754, 0.006140
medianMediansSelect, 503754, 0.027797
quickSelect, 561931, 0.009067
heapSelect, 561931, 0.006496
medianMediansSelect, 561931, 0.030239
quickSelect, 626826, 0.009556
heapSelect, 626826, 0.007712
medianMediansSelect, 626826, 0.034604
quickSelect, 699216, 0.010327
heapSelect, 699216, 0.008115
medianMediansSelect, 699216, 0.036284
quickSelect, 779966, 0.011431
heapSelect, 779966, 0.009597
medianMediansSelect, 779966, 0.041438
quickSelect, 870042, 0.012958
heapSelect, 870042, 0.010134
medianMediansSelect, 870042, 0.046242
quickSelect, 970520, 0.014657
heapSelect, 970520, 0.010931
medianMediansSelect, 970520, 0.050397
quickSelect, 1082602, 0.015027
heapSelect, 1082602, 0.012640
medianMediansSelect, 1082602, 0.055664
quickSelect, 1207629, 0.015974
heapSelect, 1207629, 0.014276
medianMediansSelect, 1207629, 0.061820
quickSelect, 1347094, 0.018180
heapSelect, 1347094, 0.016791
medianMediansSelect, 1347094, 0.068167
quickSelect, 1502665, 0.021178
heapSelect, 1502665, 0.018169
medianMediansSelect, 1502665, 0.074624
quickSelect, 1676202, 0.023786
heapSelect, 1676202, 0.020322
medianMediansSelect, 1676202, 0.084310
quickSelect, 1869781, 0.026870
heapSelect, 1869781, 0.021267
medianMediansSelect, 1869781, 0.094820
quickSelect, 2085716, 0.034006
heapSelect, 2085716, 0.023316
medianMediansSelect, 2085716, 0.105007
quickSelect, 2326588, 0.031896
heapSelect, 2326588, 0.027016
medianMediansSelect, 2326588, 0.119934
quickSelect, 2595278, 0.035953
heapSelect, 2595278, 0.030165
medianMediansSelect, 2595278, 0.134988
quickSelect, 2894998, 0.039755
heapSelect, 2894998, 0.035536
medianMediansSelect, 2894998, 0.153328
quickSelect, 3229331, 0.046811
heapSelect, 3229331, 0.037623
medianMediansSelect, 3229331, 0.166470
quickSelect, 3602276, 0.054582
heapSelect, 3602276, 0.042821
medianMediansSelect, 3602276, 0.186383
quickSelect, 4018290, 0.055544
heapSelect, 4018290, 0.052724
medianMediansSelect, 4018290, 0.216010
quickSelect, 4482349, 0.066407
heapSelect, 4482349, 0.055869
medianMediansSelect, 4482349, 0.239689
quickSelect, 5000000, 0.076632
heapSelect, 5000000, 0.067006
medianMediansSelect, 5000000, 0.279370
