size,quickselect,heapselect,medianmediansselect
100, 0.000003, 0.000181, 0.000004
100, 0.000003, 0.000144, 0.000003
100, 0.000002, 0.000157, 0.000004
100, 0.000002, 0.000128, 0.000003
100, 0.000002, 0.000130, 0.000003
100, 0.000002, 0.000129, 0.000003
100, 0.000001, 0.000130, 0.000003
100, 0.000001, 0.000130, 0.000003
100, 0.000002, 0.000131, 0.000003
100, 0.000001, 0.000131, 0.000003
100, 0.000002, 0.000131, 0.000003
100, 0.000002, 0.000132, 0.000003
100, 0.000002, 0.000140, 0.000003
100, 0.000001, 0.000135, 0.000003
100, 0.000002, 0.000207, 0.000003
100, 0.000002, 0.000150, 0.000004
100, 0.000003, 0.000137, 0.000003
100, 0.000003, 0.000187, 0.000004
100, 0.000002, 0.000218, 0.000005
100, 0.000001, 0.000144, 0.000005
111, 0.000003, 0.000281, 0.000003
111, 0.000003, 0.000136, 0.000003
111, 0.000002, 0.000173, 0.000003
111, 0.000002, 0.000140, 0.000003
111, 0.000003, 0.000142, 0.000003
111, 0.000001, 0.000144, 0.000004
111, 0.000002, 0.000157, 0.000003
111, 0.000003, 0.000153, 0.000003
111, 0.000002, 0.000147, 0.000003
111, 0.000004, 0.000141, 0.000003
111, 0.000002, 0.000149, 0.000003
111, 0.000002, 0.000136, 0.000004
111, 0.000003, 0.000149, 0.000003
111, 0.000001, 0.000157, 0.000003
111, 0.000003, 0.000169, 0.000004
111, 0.000001, 0.000137, 0.000003
111, 0.000001, 0.000154, 0.000003
111, 0.000002, 0.000191, 0.000003
111, 0.000003, 0.000137, 0.000003
111, 0.000002, 0.000170, 0.000003
124, 0.000003, 0.000154, 0.000002
124, 0.000003, 0.000178, 0.000002
124, 0.000001, 0.000161, 0.000002
124, 0.000001, 0.000164, 0.000002
124, 0.000002, 0.000183, 0.000002
124, 0.000002, 0.000187, 0.000002
124, 0.000002, 0.000144, 0.000002
124, 0.000002, 0.000151, 0.000002
124, 0.000003, 0.000180, 0.000002
124, 0.000001, 0.000172, 0.000002
124, 0.000002, 0.000159, 0.000002
124, 0.000002, 0.000185, 0.000002
124, 0.000002, 0.000136, 0.000002
124, 0.000003, 0.000149, 0.000002
124, 0.000003, 0.000148, 0.000002
124, 0.000001, 0.000154, 0.000002
124, 0.000003, 0.000140, 0.000002
124, 0.000002, 0.000169, 0.000002
124, 0.000003, 0.000176, 0.000002
124, 0.000002, 0.000141, 0.000002
138, 0.000002, 0.000206, 0.000005
138, 0.000004, 0.000217, 0.000005
138, 0.000002, 0.000180, 0.000004
138, 0.000002, 0.000138, 0.000006
138, 0.000003, 0.000211, 0.000004
138, 0.000002, 0.000176, 0.000004
138, 0.000003, 0.000221, 0.000004
138, 0.000003, 0.000163, 0.000005
138, 0.000004, 0.000233, 0.000005
138, 0.000004, 0.000146, 0.000004
138, 0.000002, 0.000144, 0.000004
138, 0.000002, 0.000168, 0.000004
138, 0.000002, 0.000170, 0.000005
138, 0.000002, 0.000139, 0.000004
138, 0.000003, 0.000175, 0.000005
138, 0.000002, 0.000182, 0.000005
138, 0.000004, 0.000181, 0.000004
138, 0.000003, 0.000144, 0.000004
138, 0.000002, 0.000172, 0.000005
138, 0.000003, 0.000228, 0.000004
154, 0.000003, 0.000142, 0.000003
154, 0.000002, 0.000170, 0.000003
154, 0.000002, 0.000168, 0.000003
154, 0.000002, 0.000179, 0.000003
154, 0.000002, 0.000158, 0.000002
154, 0.000003, 0.000187, 0.000003
154, 0.000002, 0.000162, 0.000002
154, 0.000002, 0.000185, 0.000003
154, 0.000001, 0.000187, 0.000003
154, 0.000003, 0.000214, 0.000003
154, 0.000002, 0.000141, 0.000003
154, 0.000005, 0.000159, 0.000002
154, 0.000003, 0.000177, 0.000003
154, 0.000002, 0.000189, 0.000003
154, 0.000004, 0.000137, 0.000002
154, 0.000005, 0.000184, 0.000003
154, 0.000001, 0.000161, 0.000003
154, 0.000003, 0.000175, 0.000003
154, 0.000002, 0.000155, 0.000003
154, 0.000003, 0.000216, 0.000003
172, 0.000004, 0.000171, 0.000006
172, 0.000002, 0.000141, 0.000005
172, 0.000003, 0.000172, 0.000005
172, 0.000003, 0.000213, 0.000005
172, 0.000003, 0.000174, 0.000005
172, 0.000003, 0.000140, 0.000005
172, 0.000004, 0.000171, 0.000005
172, 0.000005, 0.000162, 0.000005
172, 0.000003, 0.000187, 0.000006
172, 0.000003, 0.000196, 0.000005
172, 0.000003, 0.000252, 0.000006
172, 0.000004, 0.000161, 0.000005
172, 0.000003, 0.000148, 0.000005
172, 0.000004, 0.000188, 0.000005
172, 0.000003, 0.000201, 0.000007
172, 0.000003, 0.000140, 0.000005
172, 0.000002, 0.000147, 0.000006
172, 0.000005, 0.000230, 0.000005
172, 0.000002, 0.000173, 0.000006
172, 0.000003, 0.000174, 0.000005
192, 0.000003, 0.000203, 0.000007
192, 0.000004, 0.000222, 0.000007
192, 0.000005, 0.000144, 0.000006
192, 0.000003, 0.000169, 0.000006
192, 0.000002, 0.000180, 0.000007
192, 0.000003, 0.000161, 0.000006
192, 0.000006, 0.000141, 0.000006
192, 0.000003, 0.000171, 0.000006
192, 0.000003, 0.000163, 0.000006
192, 0.000003, 0.000185, 0.000006
192, 0.000006, 0.000146, 0.000007
192, 0.000003, 0.000171, 0.000007
192, 0.000002, 0.000216, 0.000006
192, 0.000002, 0.000145, 0.000007
192, 0.000003, 0.000175, 0.000006
192, 0.000004, 0.000183, 0.000006
192, 0.000002, 0.000159, 0.000006
192, 0.000002, 0.000146, 0.000008
192, 0.000002, 0.000191, 0.000007
192, 0.000002, 0.000184, 0.000007
214, 0.000004, 0.000208, 0.000004
214, 0.000003, 0.000188, 0.000004
214, 0.000007, 0.000267, 0.000004
214, 0.000002, 0.000205, 0.000004
214, 0.000004, 0.000208, 0.000004
214, 0.000003, 0.000207, 0.000004
214, 0.000005, 0.000193, 0.000005
214, 0.000007, 0.000151, 0.000003
214, 0.000005, 0.000174, 0.000004
214, 0.000003, 0.000185, 0.000004
214, 0.000002, 0.000182, 0.000004
214, 0.000007, 0.000151, 0.000004
214, 0.000004, 0.000178, 0.000004
214, 0.000003, 0.000271, 0.000004
214, 0.000003, 0.000147, 0.000004
214, 0.000003, 0.000222, 0.000004
214, 0.000004, 0.000229, 0.000005
214, 0.000006, 0.000181, 0.000004
214, 0.000003, 0.000148, 0.000004
