algorithm, size, time
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000005
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000002
medianMediansSelect, 100, 0.000005
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000005
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000005
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000006
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000005
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000005
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000005
heapSelect, 100, 0.000001
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000002
medianMediansSelect, 100, 0.000005
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000004
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000006
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000006
heapSelect, 111, 0.000002
medianMediansSelect, 111, 0.000006
heapSelect, 111, 0.000002
medianMediansSelect, 111, 0.000007
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000004
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000004
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000005
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000004
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000006
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000004
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000006
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000004
heapSelect, 111, 0.000002
medianMediansSelect, 111, 0.000005
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000005
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000006
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000005
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000004
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000006
heapSelect, 111, 0.000001
medianMediansSelect, 111, 0.000005
heapSelect, 124, 0.000002
medianMediansSelect, 124, 0.000006
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000006
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000006
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000006
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000004
heapSelect, 124, 0.000002
medianMediansSelect, 124, 0.000006
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000006
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000004
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000006
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000007
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000001
medianMediansSelect, 124, 0.000004
heapSelect, 138, 0.000001
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000001
medianMediansSelect, 138, 0.000010
heapSelect, 138, 0.000002
medianMediansSelect, 138, 0.000007
heapSelect, 138, 0.000001
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000002
medianMediansSelect, 138, 0.000007
heapSelect, 138, 0.000002
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000001
medianMediansSelect, 138, 0.000008
heapSelect, 138, 0.000002
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000002
medianMediansSelect, 138, 0.000005
heapSelect, 138, 0.000001
medianMediansSelect, 138, 0.000005
heapSelect, 138, 0.000001
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000001
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000002
medianMediansSelect, 138, 0.000005
heapSelect, 138, 0.000002
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000002
medianMediansSelect, 138, 0.000008
heapSelect, 138, 0.000001
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000001
medianMediansSelect, 138, 0.000005
heapSelect, 138, 0.000002
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000001
medianMediansSelect, 138, 0.000008
heapSelect, 138, 0.000002
medianMediansSelect, 138, 0.000007
heapSelect, 154, 0.000002
medianMediansSelect, 154, 0.000004
heapSelect, 154, 0.000002
medianMediansSelect, 154, 0.000008
heapSelect, 154, 0.000001
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000002
medianMediansSelect, 154, 0.000005
heapSelect, 154, 0.000001
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000002
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000002
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000002
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000002
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000002
medianMediansSelect, 154, 0.000008
heapSelect, 154, 0.000001
medianMediansSelect, 154, 0.000008
heapSelect, 154, 0.000002
medianMediansSelect, 154, 0.000007
heapSelect, 154, 0.000002
medianMediansSelect, 154, 0.000005
heapSelect, 154, 0.000002
medianMediansSelect, 154, 0.000005
heapSelect, 154, 0.000001
medianMediansSelect, 154, 0.000007
heapSelect, 154, 0.000002
medianMediansSelect, 154, 0.000005
heapSelect, 154, 0.000002
medianMediansSelect, 154, 0.000005
heapSelect, 154, 0.000002
medianMediansSelect, 154, 0.000005
heapSelect, 154, 0.000002
medianMediansSelect, 154, 0.000007
heapSelect, 154, 0.000002
medianMediansSelect, 154, 0.000007
heapSelect, 172, 0.000002
medianMediansSelect, 172, 0.000009
heapSelect, 172, 0.000003
medianMediansSelect, 172, 0.000008
heapSelect, 172, 0.000001
