size,quickselect,heapselect,medianmediansselect
100, 0.000003, 0.000002, 0.000005
100, 0.000001, 0.000002, 0.000005
100, 0.000001, 0.000002, 0.000006
100, 0.000002, 0.000001, 0.000005
100, 0.000003, 0.000001, 0.000005
100, 0.000001, 0.000002, 0.000007
100, 0.000002, 0.000002, 0.000006
100, 0.000001, 0.000004, 0.000006
100, 0.000001, 0.000002, 0.000005
100, 0.000002, 0.000001, 0.000005
100, 0.000001, 0.000002, 0.000007
100, 0.000001, 0.000001, 0.000005
100, 0.000001, 0.000001, 0.000005
100, 0.000001, 0.000002, 0.000004
100, 0.000001, 0.000002, 0.000005
100, 0.000001, 0.000002, 0.000005
100, 0.000002, 0.000002, 0.000006
100, 0.000002, 0.000002, 0.000005
100, 0.000001, 0.000001, 0.000006
100, 0.000001, 0.000001, 0.000006
100, 0.000002, 0.000001, 0.000005
100, 0.000001, 0.000002, 0.000007
100, 0.000002, 0.000001, 0.000006
100, 0.000001, 0.000001, 0.000004
100, 0.000001, 0.000002, 0.000005
100, 0.000001, 0.000001, 0.000005
100, 0.000002, 0.000002, 0.000005
100, 0.000002, 0.000002, 0.000007
100, 0.000001, 0.000002, 0.000005
100, 0.000001, 0.000001, 0.000006
100, 0.000001, 0.000001, 0.000005
100, 0.000001, 0.000002, 0.000005
100, 0.000002, 0.000001, 0.000007
100, 0.000002, 0.000001, 0.000006
100, 0.000001, 0.000001, 0.000006
100, 0.000001, 0.000001, 0.000005
100, 0.000001, 0.000002, 0.000006
100, 0.000003, 0.000001, 0.000005
100, 0.000002, 0.000002, 0.000006
100, 0.000003, 0.000001, 0.000006
100, 0.000002, 0.000001, 0.000004
100, 0.000001, 0.000001, 0.000004
100, 0.000001, 0.000002, 0.000006
100, 0.000001, 0.000001, 0.000006
100, 0.000001, 0.000002, 0.000006
100, 0.000001, 0.000001, 0.000005
100, 0.000001, 0.000001, 0.000004
100, 0.000001, 0.000001, 0.000004
100, 0.000001, 0.000001, 0.000007
100, 0.000001, 0.000002, 0.000005
111, 0.000001, 0.000002, 0.000006
111, 0.000001, 0.000002, 0.000006
111, 0.000001, 0.000001, 0.000006
111, 0.000002, 0.000002, 0.000005
111, 0.000002, 0.000002, 0.000005
111, 0.000001, 0.000002, 0.000007
111, 0.000002, 0.000002, 0.000005
111, 0.000001, 0.000002, 0.000005
111, 0.000001, 0.000002, 0.000005
111, 0.000001, 0.000002, 0.000006
111, 0.000001, 0.000002, 0.000006
111, 0.000003, 0.000001, 0.000005
111, 0.000002, 0.000001, 0.000007
111, 0.000002, 0.000002, 0.000006
111, 0.000002, 0.000002, 0.000005
111, 0.000001, 0.000002, 0.000006
111, 0.000001, 0.000002, 0.000005
111, 0.000002, 0.000002, 0.000006
111, 0.000001, 0.000002, 0.000006
111, 0.000001, 0.000001, 0.000006
111, 0.000002, 0.000001, 0.000008
111, 0.000002, 0.000001, 0.000006
111, 0.000001, 0.000002, 0.000006
111, 0.000001, 0.000002, 0.000006
111, 0.000001, 0.000002, 0.000006
111, 0.000001, 0.000002, 0.000008
111, 0.000001, 0.000002, 0.000008
111, 0.000002, 0.000002, 0.000007
111, 0.000002, 0.000002, 0.000026
111, 0.000002, 0.000002, 0.000008
111, 0.000001, 0.000002, 0.000008
111, 0.000002, 0.000003, 0.000008
111, 0.000003, 0.000007, 0.000008
111, 0.000002, 0.000002, 0.000008
111, 0.000001, 0.000002, 0.000010
111, 0.000002, 0.000002, 0.000010
111, 0.000021, 0.000003, 0.000012
111, 0.000004, 0.000002, 0.000009
111, 0.000002, 0.000002, 0.000008
111, 0.000001, 0.000003, 0.000008
111, 0.000001, 0.000002, 0.000007
111, 0.000002, 0.000002, 0.000007
111, 0.000001, 0.000002, 0.000007
111, 0.000006, 0.000002, 0.000010
111, 0.000001, 0.000002, 0.000010
111, 0.000001, 0.000003, 0.000009
111, 0.000002, 0.000003, 0.000014
111, 0.000004, 0.000003, 0.000008
111, 0.000003, 0.000001, 0.000006
111, 0.000001, 0.000002, 0.000007
124, 0.000002, 0.000002, 0.000007
124, 0.000002, 0.000002, 0.000011
124, 0.000001, 0.000002, 0.000008
124, 0.000002, 0.000002, 0.000008
124, 0.000001, 0.000002, 0.000008
124, 0.000002, 0.000002, 0.000007
124, 0.000002, 0.000003, 0.000007
124, 0.000002, 0.000002, 0.000009
124, 0.000003, 0.000003, 0.000008
124, 0.000002, 0.000002, 0.000008
124, 0.000001, 0.000002, 0.000008
124, 0.000001, 0.000002, 0.000007
124, 0.000001, 0.000002, 0.000008
124, 0.000001, 0.000003, 0.000010
124, 0.000001, 0.000002, 0.000009
124, 0.000003, 0.000002, 0.000007
124, 0.000001, 0.000002, 0.000009
124, 0.000001, 0.000002, 0.000009
124, 0.000001, 0.000002, 0.000010
124, 0.000002, 0.000002, 0.000010
124, 0.000002, 0.000002, 0.000006
124, 0.000001, 0.000002, 0.000007
