size,quickselect
100, 0.000034
100, 0.000037
100, 0.000038
100, 0.000044
100, 0.000037
100, 0.000040
100, 0.000040
100, 0.000041
100, 0.000037
100, 0.000038
100, 0.000036
100, 0.000038
100, 0.000037
100, 0.000036
100, 0.000036
100, 0.000038
100, 0.000036
100, 0.000037
100, 0.000037
100, 0.000042
100, 0.000038
100, 0.000040
100, 0.000036
100, 0.000038
100, 0.000036
100, 0.000037
100, 0.000037
100, 0.000036
100, 0.000037
100, 0.000036
100, 0.000036
100, 0.000036
100, 0.000036
100, 0.000038
100, 0.000037
100, 0.000044
100, 0.000039
100, 0.000038
100, 0.000038
100, 0.000036
111, 0.000046
111, 0.000044
111, 0.000046
111, 0.000045
111, 0.000044
111, 0.000046
111, 0.000045
111, 0.000043
111, 0.000043
111, 0.000044
111, 0.000045
111, 0.000052
111, 0.000044
111, 0.000047
111, 0.000047
111, 0.000052
111, 0.000044
111, 0.000045
111, 0.000045
111, 0.000045
111, 0.000047
111, 0.000045
111, 0.000044
111, 0.000044
111, 0.000044
111, 0.000044
111, 0.000045
111, 0.000056
111, 0.000044
111, 0.000045
111, 0.000044
111, 0.000047
111, 0.000046
111, 0.000044
111, 0.000049
111, 0.000044
111, 0.000045
111, 0.000046
111, 0.000044
111, 0.000043
124, 0.000055
124, 0.000055
124, 0.000059
124, 0.000063
124, 0.000060
124, 0.000058
124, 0.000056
124, 0.000057
124, 0.000054
124, 0.000054
124, 0.000057
124, 0.000054
124, 0.000056
124, 0.000057
124, 0.000054
124, 0.000054
124, 0.000055
124, 0.000054
124, 0.000058
124, 0.000061
124, 0.000055
124, 0.000059
124, 0.000057
124, 0.000055
124, 0.000060
124, 0.000054
124, 0.000055
124, 0.000055
124, 0.000056
124, 0.000055
124, 0.000056
124, 0.000054
124, 0.000055
124, 0.000054
124, 0.000063
124, 0.000063
124, 0.000057
124, 0.000055
124, 0.000057
124, 0.000055
138, 0.000070
138, 0.000068
138, 0.000071
138, 0.000068
138, 0.000071
138, 0.000071
138, 0.000066
138, 0.000068
138, 0.000068
138, 0.000067
138, 0.000068
138, 0.000085
138, 0.000072
138, 0.000073
138, 0.000073
138, 0.000070
138, 0.000067
138, 0.000073
138, 0.000068
138, 0.000067
138, 0.000067
138, 0.000069
138, 0.000067
138, 0.000067
138, 0.000068
138, 0.000068
138, 0.000070
138, 0.000075
138, 0.000068
138, 0.000068
138, 0.000073
138, 0.000070
138, 0.000072
138, 0.000067
138, 0.000066
138, 0.000067
138, 0.000068
138, 0.000067
138, 0.000066
138, 0.000066
154, 0.000082
154, 0.000084
154, 0.000086
154, 0.000095
154, 0.000083
154, 0.000094
154, 0.000092
154, 0.000093
154, 0.000084
154, 0.000112
154, 0.000086
154, 0.000083
154, 0.000085
154, 0.000084
154, 0.000082
154, 0.000084
154, 0.000083
154, 0.000088
154, 0.000084
154, 0.000101
154, 0.000086
154, 0.000090
154, 0.000101
154, 0.000089
154, 0.000107
154, 0.000093
154, 0.000087
154, 0.000085
154, 0.000086
154, 0.000083
154, 0.000084
154, 0.000083
154, 0.000085
154, 0.000086
154, 0.000088
154, 0.000093
154, 0.000084
154, 0.000085
154, 0.000084
154, 0.000083
172, 0.000110
172, 0.000113
172, 0.000106
172, 0.000105
172, 0.000105
172, 0.000103
172, 0.000103
172, 0.000103
172, 0.000104
172, 0.000112
172, 0.000102
172, 0.000103
172, 0.000103
172, 0.000102
172, 0.000106
172, 0.000107
172, 0.000109
172, 0.000105
172, 0.000104
172, 0.000102
172, 0.000105
172, 0.000103
172, 0.000102
172, 0.000103
172, 0.000102
172, 0.000103
172, 0.000117
172, 0.000108
172, 0.000110
172, 0.000112
172, 0.000115
172, 0.000105
172, 0.000103
172, 0.000106
172, 0.000103
172, 0.000103
172, 0.000103
172, 0.000103
172, 0.000102
172, 0.000104
192, 0.000127
192, 0.000130
192, 0.000155
192, 0.000130
192, 0.000127
192, 0.000131
192, 0.000141
192, 0.000136
192, 0.000144
192, 0.000144
192, 0.000130
192, 0.000133
192, 0.000135
192, 0.000126
192, 0.000129
192, 0.000126
192, 0.000127
192, 0.000129
192, 0.000157
192, 0.000128
192, 0.000129
192, 0.000128
192, 0.000128
192, 0.000130
192, 0.000127
192, 0.000133
192, 0.000127
192, 0.000127
192, 0.000127
192, 0.000130
192, 0.000127
192, 0.000129
192, 0.000128
192, 0.000131
192, 0.000148
192, 0.000130
192, 0.000131
192, 0.000135
192, 0.000144
192, 0.000130
214, 0.000174
214, 0.000172
214, 0.000174
214, 0.000160
214, 0.000161
214, 0.000159
214, 0.000161
214, 0.000162
214, 0.000172
214, 0.000185
214, 0.000172
214, 0.000168
214, 0.000203
