algorithm, size, time
heapSelect, 100, 0.000008
medianMediansSelect, 100, 0.000003
heapSelect, 100, 0.000007
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000008
medianMediansSelect, 100, 0.000003
heapSelect, 100, 0.000008
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000008
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000008
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000007
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000008
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000007
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000008
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000007
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000007
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000008
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000007
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000008
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000008
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000007
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000007
medianMediansSelect, 100, 0.000003
heapSelect, 100, 0.000009
medianMediansSelect, 100, 0.000004
heapSelect, 100, 0.000008
medianMediansSelect, 100, 0.000005
heapSelect, 111, 0.000010
medianMediansSelect, 111, 0.000005
heapSelect, 111, 0.000010
medianMediansSelect, 111, 0.000004
heapSelect, 111, 0.000011
medianMediansSelect, 111, 0.000004
heapSelect, 111, 0.000010
medianMediansSelect, 111, 0.000004
heapSelect, 111, 0.000013
medianMediansSelect, 111, 0.000003
heapSelect, 111, 0.000010
medianMediansSelect, 111, 0.000005
heapSelect, 111, 0.000013
medianMediansSelect, 111, 0.000006
heapSelect, 111, 0.000011
medianMediansSelect, 111, 0.000005
heapSelect, 111, 0.000010
medianMediansSelect, 111, 0.000003
heapSelect, 111, 0.000010
medianMediansSelect, 111, 0.000003
heapSelect, 111, 0.000010
medianMediansSelect, 111, 0.000004
heapSelect, 111, 0.000010
medianMediansSelect, 111, 0.000004
heapSelect, 111, 0.000011
medianMediansSelect, 111, 0.000005
heapSelect, 111, 0.000011
medianMediansSelect, 111, 0.000004
heapSelect, 111, 0.000010
medianMediansSelect, 111, 0.000003
heapSelect, 111, 0.000010
medianMediansSelect, 111, 0.000004
heapSelect, 111, 0.000011
medianMediansSelect, 111, 0.000005
heapSelect, 111, 0.000014
medianMediansSelect, 111, 0.000005
heapSelect, 111, 0.000011
medianMediansSelect, 111, 0.000006
heapSelect, 111, 0.000011
medianMediansSelect, 111, 0.000004
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000006
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000004
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000004
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000004
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000004
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000004
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000006
medianMediansSelect, 124, 0.000005
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000006
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000004
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000004
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000004
heapSelect, 124, 0.000006
medianMediansSelect, 124, 0.000004
heapSelect, 124, 0.000005
medianMediansSelect, 124, 0.000005
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000008
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000005
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000005
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000004
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000004
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000005
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000002
medianMediansSelect, 138, 0.000004
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000006
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000005
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000004
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000008
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000005
heapSelect, 138, 0.000003
medianMediansSelect, 138, 0.000005
heapSelect, 154, 0.000009
medianMediansSelect, 154, 0.000009
heapSelect, 154, 0.000011
medianMediansSelect, 154, 0.000007
heapSelect, 154, 0.000009
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000008
medianMediansSelect, 154, 0.000005
heapSelect, 154, 0.000008
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000007
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000009
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000007
medianMediansSelect, 154, 0.000005
heapSelect, 154, 0.000007
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000008
medianMediansSelect, 154, 0.000005
heapSelect, 154, 0.000007
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000007
medianMediansSelect, 154, 0.000007
heapSelect, 154, 0.000007
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000007
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000007
medianMediansSelect, 154, 0.000005
heapSelect, 154, 0.000007
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000008
medianMediansSelect, 154, 0.000005
heapSelect, 154, 0.000007
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000008
medianMediansSelect, 154, 0.000006
heapSelect, 154, 0.000008
medianMediansSelect, 154, 0.000008
heapSelect, 172, 0.000010
medianMediansSelect, 172, 0.000006
heapSelect, 172, 0.000009
medianMediansSelect, 172, 0.000007
heapSelect, 172, 0.000010
medianMediansSelect, 172, 0.000008
heapSelect, 172, 0.000011
medianMediansSelect, 172, 0.000006
heapSelect, 172, 0.000009
medianMediansSelect, 172, 0.000009
heapSelect, 172, 0.000010
medianMediansSelect, 172, 0.000007
heapSelect, 172, 0.000009
medianMediansSelect, 172, 0.000006
heapSelect, 172, 0.000009
medianMediansSelect, 172, 0.000006
heapSelect, 172, 0.000010
medianMediansSelect, 172, 0.000007
heapSelect, 172, 0.000011
medianMediansSelect, 172, 0.000006
heapSelect, 172, 0.000010
medianMediansSelect, 172, 0.000008
heapSelect, 172, 0.000009
medianMediansSelect, 172, 0.000006
heapSelect, 172, 0.000009
medianMediansSelect, 172, 0.000006
heapSelect, 172, 0.000010
medianMediansSelect, 172, 0.000007
heapSelect, 172, 0.000009
medianMediansSelect, 172, 0.000006
heapSelect, 172, 0.000010
medianMediansSelect, 172, 0.000006
heapSelect, 172, 0.000009
medianMediansSelect, 172, 0.000007
heapSelect, 172, 0.000008
medianMediansSelect, 172, 0.000007
heapSelect, 172, 0.000011
medianMediansSelect, 172, 0.000007
heapSelect, 172, 0.000010
medianMediansSelect, 172, 0.000006
heapSelect, 192, 0.000012
medianMediansSelect, 192, 0.000007
heapSelect, 192, 0.000010
medianMediansSelect, 192, 0.000009
heapSelect, 192, 0.000010
medianMediansSelect, 192, 0.000007
heapSelect, 192, 0.000010
medianMediansSelect, 192, 0.000007
heapSelect, 192, 0.000011
medianMediansSelect, 192, 0.000007
heapSelect, 192, 0.000011
medianMediansSelect, 192, 0.000008
heapSelect, 192, 0.000011
medianMediansSelect, 192, 0.000010
heapSelect, 192, 0.000011
medianMediansSelect, 192, 0.000008
heapSelect, 192, 0.000011
medianMediansSelect, 192, 0.000006
heapSelect, 192, 0.000011
medianMediansSelect, 192, 0.000010
heapSelect, 192, 0.000011
medianMediansSelect, 192, 0.000007
heapSelect, 192, 0.000011
medianMediansSelect, 192, 0.000007
heapSelect, 192, 0.000010
medianMediansSelect, 192, 0.000007
heapSelect, 192, 0.000011
medianMediansSelect, 192, 0.000007
heapSelect, 192, 0.000011
medianMediansSelect, 192, 0.000009
heapSelect, 192, 0.000012
medianMediansSelect, 192, 0.000007
heapSelect, 192, 0.000016
medianMediansSelect, 192, 0.000007
heapSelect, 192, 0.000014
medianMediansSelect, 192, 0.000009
heapSelect, 192, 0.000011
medianMediansSelect, 192, 0.000007
heapSelect, 192, 0.000010
medianMediansSelect, 192, 0.000006
heapSelect, 214, 0.000008
medianMediansSelect, 214, 0.000008
heapSelect, 214, 0.000008
medianMediansSelect, 214, 0.000008
heapSelect, 214, 0.000010
medianMediansSelect, 214, 0.000008
heapSelect, 214, 0.000008
medianMediansSelect, 214, 0.000011
heapSelect, 214, 0.000009
medianMediansSelect, 214, 0.000007
heapSelect, 214, 0.000008
medianMediansSelect, 214, 0.000007
heapSelect, 214, 0.000009
medianMediansSelect, 214, 0.000008
heapSelect, 214, 0.000009
medianMediansSelect, 214, 0.000013
heapSelect, 214, 0.000008
medianMediansSelect, 214, 0.000009
heapSelect, 214, 0.000008
medianMediansSelect, 214, 0.000008
heapSelect, 214, 0.000008
medianMediansSelect, 214, 0.000009
heapSelect, 214, 0.000011
medianMediansSelect, 214, 0.000013
heapSelect, 214, 0.000011
medianMediansSelect, 214, 0.000011
heapSelect, 214, 0.000011
medianMediansSelect, 214, 0.000008
heapSelect, 214, 0.000008
medianMediansSelect, 214, 0.000009
heapSelect, 214, 0.000008
medianMediansSelect, 214, 0.000007
heapSelect, 214, 0.000009
medianMediansSelect, 214, 0.000011
heapSelect, 214, 0.000009
medianMediansSelect, 214, 0.000008
heapSelect, 214, 0.000009
medianMediansSelect, 214, 0.000008
heapSelect, 214, 0.000008
medianMediansSelect, 214, 0.000007
heapSelect, 239, 0.000009
medianMediansSelect, 239, 0.000007
heapSelect, 239, 0.000009
medianMediansSelect, 239, 0.000008
heapSelect, 239, 0.000009
medianMediansSelect, 239, 0.000011
heapSelect, 239, 0.000009
medianMediansSelect, 239, 0.000009
heapSelect, 239, 0.000010
medianMediansSelect, 239, 0.000010
heapSelect, 239, 0.000009
medianMediansSelect, 239, 0.000008
heapSelect, 239, 0.000009
medianMediansSelect, 239, 0.000012
heapSelect, 239, 0.000008
medianMediansSelect, 239, 0.000008
heapSelect, 239, 0.000012
medianMediansSelect, 239, 0.000009
heapSelect, 239, 0.000010
medianMediansSelect, 239, 0.000009
heapSelect, 239, 0.000009
medianMediansSelect, 239, 0.000009
heapSelect, 239, 0.000011
medianMediansSelect, 239, 0.000013
heapSelect, 239, 0.000009
medianMediansSelect, 239, 0.000010
heapSelect, 239, 0.000010
medianMediansSelect, 239, 0.000011
heapSelect, 239, 0.000009
medianMediansSelect, 239, 0.000009
heapSelect, 239, 0.000009
medianMediansSelect, 239, 0.000010
heapSelect, 239, 0.000013
medianMediansSelect, 239, 0.000011
heapSelect, 239, 0.000009
medianMediansSelect, 239, 0.000009
heapSelect, 239, 0.000009
medianMediansSelect, 239, 0.000011
heapSelect, 239, 0.000009
medianMediansSelect, 239, 0.000011
heapSelect, 267, 0.000003
medianMediansSelect, 267, 0.000012
heapSelect, 267, 0.000003
medianMediansSelect, 267, 0.000010
heapSelect, 267, 0.000002
medianMediansSelect, 267, 0.000010
heapSelect, 267, 0.000003
medianMediansSelect, 267, 0.000010
heapSelect, 267, 0.000003
medianMediansSelect, 267, 0.000010
heapSelect, 267, 0.000004
medianMediansSelect, 267, 0.000014
heapSelect, 267, 0.000003
medianMediansSelect, 267, 0.000013
heapSelect, 267, 0.000002
medianMediansSelect, 267, 0.000009
heapSelect, 267, 0.000003
medianMediansSelect, 267, 0.000012
heapSelect, 267, 0.000003
medianMediansSelect, 267, 0.000014
heapSelect, 267, 0.000004
medianMediansSelect, 267, 0.000009
heapSelect, 267, 0.000003
medianMediansSelect, 267, 0.000010
heapSelect, 267, 0.000003
medianMediansSelect, 267, 0.000011
heapSelect, 267, 0.000004
medianMediansSelect, 267, 0.000012
heapSelect, 267, 0.000004
medianMediansSelect, 267, 0.000014
heapSelect, 267, 0.000003
medianMediansSelect, 267, 0.000013
heapSelect, 267, 0.000003
medianMediansSelect, 267, 0.000009
heapSelect, 267, 0.000003
medianMediansSelect, 267, 0.000011
heapSelect, 267, 0.000003
medianMediansSelect, 267, 0.000011
heapSelect, 267, 0.000004
medianMediansSelect, 267, 0.000013
heapSelect, 298, 0.000014
medianMediansSelect, 298, 0.000016
heapSelect, 298, 0.000013
medianMediansSelect, 298, 0.000011
heapSelect, 298, 0.000015
medianMediansSelect, 298, 0.000015
heapSelect, 298, 0.000013
medianMediansSelect, 298, 0.000012
heapSelect, 298, 0.000013
medianMediansSelect, 298, 0.000013
heapSelect, 298, 0.000013
medianMediansSelect, 298, 0.000012
heapSelect, 298, 0.000013
medianMediansSelect, 298, 0.000016
heapSelect, 298, 0.000013
medianMediansSelect, 298, 0.000011
heapSelect, 298, 0.000012
medianMediansSelect, 298, 0.000014
heapSelect, 298, 0.000014
medianMediansSelect, 298, 0.000012
heapSelect, 298, 0.000012
medianMediansSelect, 298, 0.000012
heapSelect, 298, 0.000013
medianMediansSelect, 298, 0.000013
heapSelect, 298, 0.000012
medianMediansSelect, 298, 0.000011
heapSelect, 298, 0.000013
medianMediansSelect, 298, 0.000012
heapSelect, 298, 0.000012
medianMediansSelect, 298, 0.000011
heapSelect, 298, 0.000013
medianMediansSelect, 298, 0.000013
heapSelect, 298, 0.000011
medianMediansSelect, 298, 0.000010
heapSelect, 298, 0.000012
medianMediansSelect, 298, 0.000012
heapSelect, 298, 0.000013
medianMediansSelect, 298, 0.000010
heapSelect, 298, 0.000013
medianMediansSelect, 298, 0.000013
heapSelect, 332, 0.000011
medianMediansSelect, 332, 0.000012
heapSelect, 332, 0.000011
medianMediansSelect, 332, 0.000013
heapSelect, 332, 0.000012
medianMediansSelect, 332, 0.000011
heapSelect, 332, 0.000011
medianMediansSelect, 332, 0.000015
heapSelect, 332, 0.000011
medianMediansSelect, 332, 0.000015
heapSelect, 332, 0.000011
medianMediansSelect, 332, 0.000011
heapSelect, 332, 0.000010
medianMediansSelect, 332, 0.000012
heapSelect, 332, 0.000010
medianMediansSelect, 332, 0.000012
heapSelect, 332, 0.000011
medianMediansSelect, 332, 0.000012
heapSelect, 332, 0.000012
medianMediansSelect, 332, 0.000014
heapSelect, 332, 0.000011
medianMediansSelect, 332, 0.000012
heapSelect, 332, 0.000011
medianMediansSelect, 332, 0.000013
heapSelect, 332, 0.000010
medianMediansSelect, 332, 0.000014
heapSelect, 332, 0.000011
medianMediansSelect, 332, 0.000012
heapSelect, 332, 0.000012
medianMediansSelect, 332, 0.000013
heapSelect, 332, 0.000011
medianMediansSelect, 332, 0.000018
heapSelect, 332, 0.000010
medianMediansSelect, 332, 0.000011
heapSelect, 332, 0.000011
medianMediansSelect, 332, 0.000013
heapSelect, 332, 0.000011
medianMediansSelect, 332, 0.000013
heapSelect, 332, 0.000011
medianMediansSelect, 332, 0.000012
heapSelect, 371, 0.000005
medianMediansSelect, 371, 0.000017
heapSelect, 371, 0.000005
medianMediansSelect, 371, 0.000017
heapSelect, 371, 0.000005
medianMediansSelect, 371, 0.000016
heapSelect, 371, 0.000006
medianMediansSelect, 371, 0.000015
heapSelect, 371, 0.000004
medianMediansSelect, 371, 0.000016
heapSelect, 371, 0.000006
medianMediansSelect, 371, 0.000016
heapSelect, 371, 0.000005
medianMediansSelect, 371, 0.000019
heapSelect, 371, 0.000004
medianMediansSelect, 371, 0.000013
heapSelect, 371, 0.000006
medianMediansSelect, 371, 0.000017
heapSelect, 371, 0.000006
medianMediansSelect, 371, 0.000021
heapSelect, 371, 0.000006
medianMediansSelect, 371, 0.000016
heapSelect, 371, 0.000005
medianMediansSelect, 371, 0.000015
heapSelect, 371, 0.000004
medianMediansSelect, 371, 0.000017
heapSelect, 371, 0.000005
medianMediansSelect, 371, 0.000014
heapSelect, 371, 0.000005
medianMediansSelect, 371, 0.000014
heapSelect, 371, 0.000004
medianMediansSelect, 371, 0.000017
heapSelect, 371, 0.000005
medianMediansSelect, 371, 0.000012
heapSelect, 371, 0.000006
medianMediansSelect, 371, 0.000020
heapSelect, 371, 0.000006
medianMediansSelect, 371, 0.000018
heapSelect, 371, 0.000006
medianMediansSelect, 371, 0.000017
heapSelect, 414, 0.000015
medianMediansSelect, 414, 0.000017
heapSelect, 414, 0.000088
medianMediansSelect, 414, 0.000025
heapSelect, 414, 0.000029
medianMediansSelect, 414, 0.000024
heapSelect, 414, 0.000018
medianMediansSelect, 414, 0.000021
