"","size","quickselect_average","quickselect_variance","heapselect_average","heapselect_variance","medianmediansselect_average","medianmediansselect_variance"
"1",100,1.7e-06,3.69230769230769e-13,8.475e-06,6.1474358974359e-13,3.675e-06,3.78846153846154e-13
"2",111,1.825e-06,5.07051282051282e-13,9.425e-06,5.07051282051282e-13,4.025e-06,4.3525641025641e-13
"3",124,2e-06,6.66666666666667e-13,1.1075e-05,8.40384615384615e-13,4.4e-06,6.56410256410257e-13
"4",138,2.425e-06,6.60897435897436e-13,1.2575e-05,1.63525641025641e-12,5.15e-06,6.43589743589744e-13
"5",154,2.85e-06,1.56666666666667e-12,1.6625e-05,1.01891025641026e-11,7.775e-06,2.94807692307692e-12
"6",172,3.125e-06,8.30128205128205e-13,1.7725e-05,7.58910256410257e-12,6.9e-06,3.01538461538462e-12
"7",192,3.45e-06,1.53589743589744e-12,2.005e-05,9.48461538461538e-12,7.45e-06,1.68974358974359e-12
"8",214,3.55e-06,1.48461538461538e-12,2.2125e-05,3.03525641025641e-12,8.45e-06,1.74102564102564e-12
"9",239,4.45e-06,1.94615384615385e-12,2.5675e-05,4.78910256410256e-12,9.05e-06,2.04871794871795e-12
"10",267,4.55e-06,2.71538461538462e-12,2.9425e-05,6.40448717948718e-12,1.005e-05,3.9974358974359e-12
"11",298,5.3e-06,3.13846153846154e-12,3.425e-05,6.19230769230769e-12,1.12e-05,4.52307692307692e-12
"12",332,6.75e-06,5.93589743589744e-12,4.6225e-05,2.13819871794872e-10,1.67e-05,5.36e-11
"13",371,7.075e-06,5.76346153846154e-12,4.8175e-05,6.30711538461538e-11,1.5325e-05,1.04814102564103e-11
"14",414,9.05e-06,1.07153846153846e-11,5.6025e-05,6.66916666666667e-11,1.975e-05,2.80384615384615e-11
"15",461,9.1e-06,1.33230769230769e-11,6.33e-05,1.25497435897436e-10,2.2125e-05,3.30352564102564e-11
"16",515,1.065e-05,2.73615384615385e-11,7.195e-05,6.89205128205128e-11,2.57e-05,2.31384615384615e-11
"17",574,1.395e-05,2.63051282051282e-11,8.3425e-05,1.6671217948718e-10,2.8675e-05,3.28403846153846e-11
"18",641,1.3925e-05,2.13532051282051e-11,8.9525e-05,3.1999358974359e-11,3.575e-05,8.62435897435898e-11
"19",715,1.585e-05,2.7874358974359e-11,0.0001024,6.10153846153846e-11,3.685e-05,3.06948717948718e-11
"20",797,1.8e-05,3.88205128205128e-11,0.000115975,7.38198717948718e-11,4.3125e-05,4.30865384615385e-11
"21",889,2.1325e-05,3.88403846153846e-11,0.0001306,8.70666666666667e-11,4.6875e-05,4.5650641025641e-11
"22",992,2.2875e-05,3.89839743589744e-11,0.000147,7.61025641025641e-11,5.34e-05,9.39897435897436e-11
"23",1107,2.5e-05,4.70769230769231e-11,0.00016725,4.74230769230769e-11,6.2175e-05,4.18403846153846e-11
"24",1235,2.765e-05,5.53615384615385e-11,0.000210525,1.03984551282051e-09,8.285e-05,2.88951538461538e-09
"25",1377,3.2775e-05,5.88455128205128e-11,0.000214025,1.67307051282051e-10,7.73e-05,5.53948717948718e-11
"26",1536,3.7275e-05,2.21845512820513e-10,0.0002422,2.36882051282051e-10,8.85e-05,9.5948717948718e-11
"27",1714,4.065e-05,1.20387179487179e-10,0.0002713,2.18010256410256e-10,9.615e-05,1.64541025641026e-10
"28",1912,4.71e-05,1.65579487179487e-10,0.000308975,3.59153205128205e-10,0.00010635,6.5823076923077e-11
"29",2133,5.135e-05,1.66694871794872e-10,0.000348,7.02153846153846e-10,0.00012315,1.04848717948718e-10
"30",2379,8.26e-05,1.06775794871795e-08,0.0004094,1.79665641025641e-09,0.00014375,7.86192307692308e-10
