"","size","quickselect_average","quickselect_variance","heapselect_average","heapselect_variance","medianmediansselect_average","medianmediansselect_variance"
"1",100,1.225e-06,3.32692307692308e-13,2.15e-06,1.30769230769231e-13,3.225e-06,3.32692307692308e-13
"2",111,1.5e-06,5.12820512820513e-13,2.1e-06,9.23076923076923e-14,3.875e-06,2.66025641025641e-13
"3",124,1.475e-06,4.09615384615385e-13,2.95e-06,1e-13,4.125e-06,2.1474358974359e-13
"4",138,1.4e-06,4.51282051282051e-13,3.025e-06,2.5e-14,4.425e-06,4.55769230769231e-13
"5",154,1.85e-06,7.97435897435897e-13,3.8e-06,1.3948717948718e-12,5.2e-06,1.65128205128205e-12
"6",172,1.95e-06,7.66666666666667e-13,3.975e-06,2.30128205128205e-13,5.375e-06,4.4551282051282e-13
"7",192,2.125e-06,1.44551282051282e-12,4.25e-06,2.43589743589744e-13,6.5e-06,9.74358974358974e-13
"8",214,2.025e-06,8.45512820512821e-13,4.725e-06,3.07051282051282e-13,6.55e-06,6.12820512820513e-13
"9",239,2.475e-06,1.69166666666667e-12,5.225e-06,2.81410256410256e-13,7.95e-06,9.20512820512821e-13
"10",267,3.25e-06,6.03846153846154e-12,7.725e-06,1.63583333333333e-11,1.1975e-05,1.48455128205128e-11
"11",298,3.65e-06,3.56666666666667e-12,6.95e-06,1.27948717948718e-12,1.0725e-05,6.40961538461538e-12
"12",332,3.35e-06,4.38717948717949e-12,7.25e-06,2.94871794871795e-13,1.0675e-05,1.14807692307692e-12
"13",371,4.025e-06,4.48653846153846e-12,8.275e-06,5.63461538461539e-13,1.27e-05,4.01025641025641e-12
"14",414,4.45e-06,5.8948717948718e-12,9.725e-06,1.48653846153846e-12,1.4825e-05,4.40448717948718e-12
"15",461,5.125e-06,4.83012820512821e-12,1.075e-05,1.47435897435897e-12,1.655e-05,4.45897435897436e-12
"16",515,6.625e-06,1.89070512820513e-11,1.24e-05,1.16923076923077e-12,2.085e-05,1.33615384615385e-11
"17",574,7.175e-06,1.47634615384615e-11,1.4425e-05,2.81474358974359e-12,2.58e-05,1.97538461538462e-11
"18",641,7.825e-06,1.98916666666667e-11,1.5875e-05,3.54807692307692e-12,2.3775e-05,1.72044871794872e-11
"19",715,8.4e-06,2.55282051282051e-11,1.8075e-05,3.55833333333333e-12,3.0125e-05,1.6573717948718e-11
"20",797,1.025e-05,2.38333333333333e-11,2.0375e-05,3.7275641025641e-12,3.255e-05,2.9125641025641e-11
"21",889,1.225e-05,6.48589743589744e-11,2.2825e-05,1.37884615384615e-12,4.0475e-05,1.25634615384615e-11
"22",992,1.285e-05,5.18230769230769e-11,2.6125e-05,5.59935897435897e-12,4.7425e-05,2.06608974358974e-11
"23",1107,1.7675e-05,2.30225e-10,3.875e-05,1.11470512820513e-09,6.485e-05,4.21566666666667e-10
"24",1235,2.49e-05,2.69686153846154e-09,3.575e-05,3.11666666666667e-11,6.9775e-05,5.83666025641026e-10
"25",1377,2.0575e-05,1.39327564102564e-10,3.97e-05,6.11384615384615e-11,7.125e-05,3.25782051282051e-10
"26",1536,2.185e-05,1.08028205128205e-10,4.3525e-05,1.7999358974359e-11,7.8375e-05,1.01009615384615e-10
"27",1714,2.57e-05,1.67394871794872e-10,4.815e-05,1.47461538461538e-11,8.745e-05,7.38435897435898e-11
"28",1912,3.175e-05,5.03730769230769e-10,5.6125e-05,4.97532051282051e-11,0.000100975,1.05050641025641e-10
"29",2133,2.9825e-05,2.50353205128205e-10,5.9475e-05,3.43525641025641e-12,0.000109825,1.04917307692308e-10
"30",2379,3.5725e-05,5.45794230769231e-10,6.7025e-05,1.77173076923077e-11,0.0001227,7.57025641025641e-11
"31",2654,3.265e-05,3.5264358974359e-10,7.49e-05,1.87589743589744e-11,0.0001411,1.38912820512821e-10
"32",2960,4.5425e-05,4.18507051282051e-10,8.53e-05,1.84205128205128e-11,0.00015645,5.53820512820513e-11
"33",3302,4.9975e-05,6.47819871794872e-10,9.4425e-05,1.20967948717949e-11,0.0001663,2.88215384615385e-10
"34",3684,6.165e-05,6.55617948717949e-10,0.0001065,5.61538461538461e-11,0.0001954,2.89271794871795e-10
"35",4109,6.25e-05,9.80102564102564e-10,0.00011955,6.11769230769231e-11,0.0002201,5.16605128205128e-10
"36",4584,0.00011325,1.62446538461538e-08,0.000195525,1.02111332692308e-07,0.0002632,1.12185641025641e-09
"37",5113,7.6975e-05,1.30279423076923e-09,0.000155225,1.94230128205128e-10,0.0002822,8.01958974358975e-10
"38",5704,9.2175e-05,1.80881474358974e-09,0.000171975,1.95101923076923e-10,0.0003116,6.53374358974359e-10
"39",6362,0.00010095,1.90420256410256e-09,0.000187725,1.97383974358974e-10,0.000334225,2.1376858974359e-10
