"","size","quickselect_average","quickselect_variance"
"1",100,3.77e-05,4.62564102564103e-12
"2",111,4.555e-05,6.92051282051282e-12
"3",124,5.6525e-05,6.97371794871795e-12
"4",138,6.9325e-05,1.20198717948718e-11
"5",154,8.8175e-05,4.77378205128205e-11
"6",172,0.000105475,1.50762820512821e-11
"7",192,0.0001326,6.01948717948718e-11
"8",214,0.000174925,2.4848141025641e-10
"9",239,0.0002058,1.46420512820513e-10
"10",267,0.000253625,1.19778846153846e-10
"11",298,0.00031575,3.27782051282051e-10
"12",332,0.000572375,3.23228445512821e-07
"13",371,0.00056045,1.07527153846154e-08
"14",414,0.00062615,4.09069487179487e-09
"15",461,0.000891625,1.31889583333333e-08
"16",515,0.0010911,1.19761948717949e-08
"17",574,0.001363525,2.78275378205128e-08
"18",641,0.0016008,2.02882666666667e-08
"19",715,0.00184445,1.4872817948718e-08
"20",797,0.002213725,1.14327685897436e-08
"21",889,0.002817175,3.07757891025641e-08
"22",992,0.00360365,1.35150233333333e-07
"23",1107,0.004461675,1.79454071153846e-07
"24",1235,0.0052908,3.49063179487179e-08
"25",1377,0.006583125,8.23936506410256e-08
"26",1536,0.008875725,3.43404133269231e-06
"27",1714,0.0104628,1.58844933333333e-07
"28",1912,0.01274965,2.65763566666667e-07
"29",2133,0.015591525,4.47504096153846e-08
"30",2379,0.0195952,7.47442061538462e-07
"31",2654,0.024531575,1.71160035320513e-06
"32",2960,0.03056625,1.12004993589744e-06
"33",3302,0.038828375,3.4499958301282e-06
"34",3684,0.0488163,3.29684621538461e-06
"35",4109,0.060872175,4.03538066089744e-06
"36",4584,0.074144525,4.20666948653846e-06
"37",5113,0.09035035,4.77234731025641e-06
"38",5704,0.111258025,9.05668530705128e-06
"39",6362,0.1375224,1.31591599897436e-05
"40",7097,0.167733875,1.05514335480769e-05
