"","size","quickselect_average","quickselect_variance","heapselect_average","heapselect_variance","medianmediansselect_average","medianmediansselect_variance"
"1",100,1.4e-06,2.97435897435897e-13,7.75e-06,1.22948717948718e-11,3.525e-06,3.58333333333333e-13
"2",111,1.7e-06,9.84615384615385e-13,1e-05,2.35384615384615e-11,4.1e-06,3.48717948717949e-13
"3",124,2.2e-06,1.4974358974359e-12,1.135e-05,4.97717948717949e-11,6.25e-06,6.63461538461538e-11
"4",138,2.1e-06,5.53846153846154e-13,1.24e-05,5.02461538461538e-11,5.325e-06,1.60961538461538e-12
"5",154,4.15e-06,2.65410256410256e-11,1.695e-05,8.52282051282051e-11,8.075e-06,1.86865384615385e-11
"6",172,3.85e-06,2.33589743589744e-12,2.31e-05,1.864e-10,8.2e-06,3.34358974358974e-12
"7",192,3.1e-06,1.68205128205128e-12,2.0575e-05,1.12455769230769e-10,7.45e-06,2.56153846153846e-12
"8",214,3.5e-06,2.92307692307692e-12,1.9975e-05,1.74794230769231e-10,8.075e-06,2.89166666666667e-12
"9",239,4.075e-06,2.94294871794872e-12,2.4675e-05,1.19866025641026e-10,9.25e-06,2.75641025641026e-12
"10",267,4.075e-06,2.17371794871795e-12,3.0575e-05,1.92199358974359e-10,1.07e-05,4.06153846153846e-12
"11",298,4.975e-06,5.8198717948718e-12,3.3975e-05,3.00640384615385e-10,1.135e-05,3.82307692307692e-12
"12",332,5.9e-06,4.45128205128205e-12,3.775e-05,3.15012820512821e-10,1.33e-05,4.47179487179487e-12
"13",371,6e-06,6.46153846153846e-12,4.63e-05,4.29548717948718e-10,1.525e-05,3.73076923076923e-12
"14",414,6.325e-06,8.84038461538462e-12,4.5125e-05,4.42419871794872e-10,1.745e-05,7.33076923076923e-12
"15",461,7.875e-06,9.29166666666667e-12,6.6325e-05,5.44658397435897e-09,2.1075e-05,1.53532051282051e-11
"16",515,1.005e-05,6.19461538461538e-11,6.8825e-05,1.27748141025641e-09,3.3475e-05,1.79543525641026e-09
"17",574,9.8e-06,9.6e-12,8.57e-05,1.20729230769231e-09,2.78e-05,1.77025641025641e-11
"18",641,1.1525e-05,1.45634615384615e-11,8.9975e-05,1.55771730769231e-09,3.2175e-05,4.50198717948718e-11
"19",715,1.2775e-05,3.63326923076923e-11,9.405e-05,2.45251025641026e-09,3.59e-05,2.07589743589744e-11
"20",797,1.53e-05,1.43179487179487e-11,0.000125875,1.63641987179487e-09,4.2125e-05,2.32403846153846e-11
"21",889,1.8025e-05,8.44352564102564e-11,0.000112775,4.06494807692308e-09,4.6525e-05,2.96403846153846e-11
"22",992,2.1175e-05,4.43532051282051e-11,0.000142725,3.03943525641026e-09,5.3225e-05,3.25378205128205e-11
"23",1107,2.0075e-05,6.25839743589744e-11,0.000169775,7.43274294871795e-09,6.0075e-05,4.08403846153846e-11
"24",1235,2.665e-05,7.49e-11,0.000180075,7.49971217948718e-09,6.88e-05,4.11897435897436e-11
"25",1377,2.99e-05,1.36758974358974e-10,0.00019535,9.16972051282051e-09,7.8725e-05,5.67173076923077e-11
"26",1536,3.2875e-05,7.47788461538462e-11,0.0002237,1.48994974358974e-08,8.8525e-05,1.07948076923077e-10
"27",1714,3.8075e-05,1.83455769230769e-10,0.00022655,1.49241512820513e-08,9.6125e-05,1.13599358974359e-10
"28",1912,4.3475e-05,1.99332692307692e-10,0.000283725,2.2899025e-08,0.0001072,7.42153846153846e-11
"29",2133,8.615e-05,4.78855153846154e-08,0.000385775,4.29505891025641e-08,0.000145375,3.14952243589744e-09
"30",2379,5.83e-05,3.82574358974359e-10,0.000388425,2.93813788461538e-08,0.000144,2.79384615384615e-10
"31",2654,5.255e-05,3.54151282051282e-10,0.0004345,4.46592307692308e-08,0.00015205,1.03484615384615e-10
