"","size","quickselect_average","quickselect_variance","heapselect_average","heapselect_variance","medianmediansselect_average","medianmediansselect_variance"
"1",100,1.45e-06,3.05128205128205e-13,4.15e-06,1.05384615384615e-12,4.075e-06,5.83974358974359e-13
"2",111,1.7e-06,5.23076923076923e-13,3.85e-06,3.35897435897436e-13,4.375e-06,7.53205128205128e-13
"3",124,2.175e-06,9.17307692307692e-13,4.775e-06,4.86538461538462e-13,5.35e-06,1.0025641025641e-12
"4",138,2.575e-06,1.58397435897436e-12,5.525e-06,7.68589743589743e-13,6.325e-06,1.60961538461538e-12
"5",154,2.475e-06,1.38397435897436e-12,6.575e-06,4.55769230769230e-13,6.65e-06,1.77179487179487e-12
"6",172,2.85e-06,1.56666666666667e-12,7.975e-06,1.71730769230769e-12,9.025e-06,3.76858974358974e-12
"7",192,6.5e-06,2.62564102564103e-11,8.75e-06,3.67948717948718e-12,1.08e-05,1.27794871794872e-11
"8",214,1.3075e-05,2.62345576923077e-09,1.0275e-05,3.78455128205128e-11,1.0775e-05,3.40961538461538e-12
"9",239,1.7025e-05,3.62551217948718e-09,1.065e-05,2.11564102564103e-11,1.2925e-05,1.28916666666667e-11
"10",267,2.09e-05,6.19942564102564e-09,1.2775e-05,2.33070512820513e-11,1.8475e-05,7.08198717948718e-11
"11",298,8.575e-06,7.78916666666667e-11,1.105e-05,6.1e-12,1.4725e-05,1.49224358974359e-11
"12",332,4.4225e-05,4.11017685897436e-08,2.425e-05,1.60383333333333e-09,2.1675e-05,3.60198717948718e-11
"13",371,1.5325e-05,5.04583974358974e-10,2.41e-05,3.88707692307692e-10,2.62e-05,4.84717948717949e-11
"14",414,1.2375e-05,2.09317307692308e-10,2e-05,9.15897435897436e-11,2.5825e-05,3.11224358974359e-11
"15",461,1.8525e-05,1.06933269230769e-09,2.3175e-05,4.37378205128205e-11,3.335e-05,1.78438461538462e-10
"16",515,1.35e-05,7.37948717948718e-11,2.51e-05,5.93230769230769e-11,4.4525e-05,2.60456346153846e-09
"17",574,1.0075e-05,6.87891025641026e-11,2.2075e-05,9.35320512820513e-12,3.4525e-05,5.0973717948718e-11
"18",641,1.1075e-05,3.69429487179487e-11,3.7375e-05,5.76316346153846e-09,3.955e-05,4.11997435897436e-10
"19",715,2.0575e-05,2.63840384615385e-10,3.6725e-05,3.70614743589744e-10,5.455e-05,1.85228205128205e-10
"20",797,2.91e-05,6.09528205128205e-10,3.97e-05,1.19907692307692e-10,6.265e-05,6.68797435897436e-10
"21",889,3.2925e-05,1.1927891025641e-09,4.96e-05,1.19224615384615e-09,7.135e-05,4.32694871794872e-10
"22",992,2.805e-05,5.86971794871795e-10,4.56e-05,1.24092307692308e-10,7.5575e-05,5.9071217948718e-10
"23",1107,4.8375e-05,1.00171121794872e-08,4.9725e-05,4.35378205128205e-11,8.5675e-05,2.27250641025641e-10
"24",1235,3.095e-05,4.48612820512821e-10,4.8475e-05,9.88198717948718e-11,8.8525e-05,2.63138397435897e-09
"25",1377,2.9975e-05,6.2351217948718e-10,4.98e-05,3.89846153846154e-11,8.0525e-05,1.26666025641026e-10
"26",1536,3.0525e-05,2.64460897435897e-10,6.25e-05,8.28205128205128e-11,0.000104325,2.41507051282051e-10
"27",1714,8.4275e-05,1.6171383974359e-08,7.61e-05,2.98605128205128e-10,0.00012815,1.80972051282051e-09
"28",1912,5.5275e-05,1.17799935897436e-09,8.165e-05,1.81566666666667e-10,0.000149,1.61246153846154e-09
"29",2133,4.375e-05,4.61833333333333e-10,8.5775e-05,2.33050641025641e-10,0.000152425,1.20281474358974e-09
"30",2379,5.405e-05,1.13015128205128e-09,9.3025e-05,3.33922435897436e-10,0.000164825,1.37804551282051e-09
"31",2654,0.00034575,2.65802142307692e-06,0.000137425,2.86038403846154e-08,0.000188125,3.69513782051282e-09
"32",2960,6.8475e-05,4.99599935897436e-09,0.000105325,1.80173717948718e-10,0.00018365,3.90848717948718e-10
"33",3302,6.465e-05,1.08407948717949e-09,0.000111475,1.66153205128205e-10,0.0001856,7.97630769230769e-10
"34",3684,8.3925e-05,1.4487891025641e-09,0.000136275,1.74153205128205e-10,0.00024615,6.4864358974359e-10
"35",4109,8.09e-05,1.6798358974359e-09,0.00014865,1.57951538461538e-09,0.0002477,1.10098461538462e-09
