"","k","quickselect_average","quickselect_variance","minheapselect_average","minheapselect_variance","maxheapselect_average","maxheapselect_variance","medianmediansselect_average","medianmediansselect_variance"
"1",0,6.22e-05,1.54368275862069e-09,0.000136833333333333,5.29022988505747e-11,0.00140853333333333,5.4128091954023e-09,0.000259666666666667,1.68367816091954e-10
"2",1,6.95666666666667e-05,1.3307367816092e-09,0.000135233333333333,4.52885057471264e-11,0.0014099,3.72085172413793e-09,0.0002627,2.22906896551724e-10
"3",2,7.65e-05,1.68860344827586e-09,0.0001341,1.76793103448276e-11,0.0014065,5.40129310344828e-09,0.0002667,4.81113793103448e-10
"4",3,8.34e-05,9.47558620689655e-10,0.000134666666666667,3.28505747126436e-11,0.00140133333333333,3.63202298850575e-09,0.0002691,2.81886206896552e-10
"5",4,8.00666666666667e-05,1.29185747126437e-09,0.0001359,3.22310344827586e-11,0.00140263333333333,2.02375747126437e-09,0.0002668,4.24372413793104e-10
"6",5,7.72666666666667e-05,1.01592643678161e-09,0.0001356,3.85241379310345e-11,0.00139086666666667,1.84984367816092e-09,0.000265033333333333,1.71274712643678e-10
"7",6,6.84e-05,1.38204137931034e-09,0.000135166666666667,3.03505747126436e-11,0.0014219,7.22926551724138e-09,0.000262166666666667,1.27385057471264e-10
"8",7,7.9e-05,1.408e-09,0.000138333333333333,5.6367816091954e-11,0.00143773333333333,9.63399540229885e-09,0.000267966666666667,2.68240229885057e-10
"9",8,7.34333333333333e-05,1.30811609195402e-09,0.000137333333333333,6.26436781609195e-11,0.0014042,2.46561379310345e-09,0.000261666666666667,1.23195402298851e-10
"10",9,6.85333333333333e-05,1.08584367816092e-09,0.000137966666666667,3.91367816091954e-11,0.00141543333333333,4.95197816091954e-09,0.0002665,2.16741379310345e-10
"11",10,8.12333333333333e-05,2.16087471264368e-09,0.000136133333333333,2.83264367816092e-11,0.00140083333333333,3.89276436781609e-09,0.000266066666666667,1.41029885057471e-10
"12",11,7.19e-05,1.37726551724138e-09,0.0001399,7.75413793103448e-11,0.00142676666666667,6.19956436781609e-09,0.000275933333333333,7.48202298850575e-10
"13",12,8.99333333333333e-05,1.35661609195402e-09,0.000151466666666667,2.62050574712644e-10,0.00153646666666667,1.71497747126437e-08,0.000291433333333333,6.3997816091954e-10
"14",13,0.000164733333333333,6.74689609195402e-08,0.000156533333333333,7.34602298850575e-10,0.001561,4.04526206896552e-08,0.0003334,2.09772137931034e-08
"15",14,9.45333333333333e-05,2.21977471264368e-09,0.000143466666666667,2.05429885057471e-10,0.0014719,2.49237482758621e-08,0.000274166666666667,8.03316091954023e-10
"16",15,7.61666666666667e-05,1.64055747126437e-09,0.000141666666666667,1.28988505747126e-10,0.00145003333333333,2.70976195402299e-08,0.000277333333333333,1.38436781609195e-09
"17",16,8.29333333333333e-05,1.40702988505747e-09,0.000146866666666667,6.49912643678161e-10,0.0014202,9.43692413793103e-09,0.0002784,2.0659724137931e-09
"18",17,8.02e-05,1.90630344827586e-09,0.000142433333333333,1.47357471264368e-10,0.0014219,2.04038862068965e-08,0.0002766,1.18976551724138e-09
"19",18,8.06666666666667e-05,1.3847816091954e-09,0.000141566666666667,1.05909195402299e-10,0.00142106666666667,9.0932367816092e-09,0.000275266666666667,9.6047816091954e-10
"20",19,7.48333333333333e-05,1.34352298850575e-09,0.000137933333333333,4.81333333333333e-11,0.00141386666666667,9.20032643678161e-09,0.0002692,3.28303448275862e-10
"21",20,6.83666666666667e-05,1.35217126436782e-09,0.000139166666666667,7.73850574712644e-11,0.00140776666666667,5.54859885057471e-09,0.000268666666666667,3.90850574712644e-10
"22",21,8.88333333333333e-05,2.05883333333333e-09,0.000140566666666667,1.68391954022988e-10,0.00140556666666667,4.65666781609195e-09,0.000266166666666667,2.03591954022989e-10
"23",22,8.89666666666667e-05,1.12051609195402e-09,0.0001386,4.43862068965517e-11,0.00139693333333333,3.11316781609195e-09,0.000271733333333333,7.20271264367816e-10
"24",23,7.75333333333333e-05,1.41432643678161e-09,0.000139,8.2e-11,0.00139643333333333,2.12128850574713e-09,0.0002692,3.98786206896552e-10
"25",24,8.1e-05,9.01862068965517e-10,0.000138966666666667,3.13436781609195e-11,0.0014013,7.28097586206897e-09,0.000266166666666667,4.44695402298851e-10
"26",25,6.98666666666667e-05,1.53777471264368e-09,0.000138833333333333,3.57298850574713e-11,0.00141523333333333,8.21273678160919e-09,0.000268333333333333,4.96850574712644e-10
"27",26,7.95666666666667e-05,1.3890816091954e-09,0.000141,9.8e-11,0.00139366666666667,6.32491954022988e-09,0.000263533333333333,1.34326436781609e-10
"28",27,7.2e-05,1.02668965517241e-09,0.000140466666666667,6.01885057471264e-11,0.00140433333333333,4.99636781609195e-09,0.0002654,3.00386206896552e-10
"29",28,7.65333333333333e-05,1.04584367816092e-09,0.000141333333333333,8.8367816091954e-11,0.00141616666666667,8.3711091954023e-09,0.000265166666666667,1.0517816091954e-10
"30",29,6.71e-05,9.80713793103448e-10,0.000140866666666667,9.83954022988506e-11,0.00139526666666667,2.63316781609196e-09,0.0002669,1.85196551724138e-10
"31",30,0.0001034,1.0511075862069e-08,0.000161266666666667,3.91650574712644e-10,0.0016025,5.24155689655172e-08,0.000421266666666667,2.45585029885057e-07
"32",31,8.77e-05,1.28442413793103e-09,0.000142966666666667,1.50998850574713e-10,0.0014071,5.67602413793103e-09,0.000266833333333333,2.84143678160919e-10
"33",32,8.70333333333333e-05,1.3791367816092e-09,0.0001435,2.12120689655172e-10,0.00139606666666667,4.49985747126437e-09,0.0002643,2.50355172413793e-10
"34",33,8.10666666666667e-05,1.31130574712644e-09,0.000142133333333333,7.23954022988506e-11,0.0014112,4.90333793103448e-09,0.0002718,5.39062068965517e-10
"35",34,7.44333333333333e-05,1.71149540229885e-09,0.000141933333333333,6.77195402298851e-11,0.00141876666666667,9.06832298850575e-09,0.0002671,7.77886206896552e-10
"36",35,8.95e-05,1.28970689655172e-09,0.000143933333333333,1.47995402298851e-10,0.0014075,6.88370689655172e-09,0.000269733333333333,5.1047816091954e-10
"37",36,7.06666666666667e-05,1.35754022988506e-09,0.000145466666666667,1.1136091954023e-10,0.0014254,6.47038620689655e-09,0.000270233333333333,3.8246091954023e-10
"38",37,6.77666666666667e-05,1.06570229885057e-09,0.0001415,4.18448275862069e-11,0.00140543333333333,1.13352195402299e-08,0.000275466666666667,9.31222988505747e-10
"39",38,8.06e-05,1.74390344827586e-09,0.000144466666666667,1.44326436781609e-10,0.0013977,4.70945862068966e-09,0.000269133333333333,2.70809195402299e-10
"40",39,7.09e-05,1.96167931034483e-09,0.000143733333333333,9.08919540229886e-11,0.0013996,3.96921379310345e-09,0.000266633333333333,2.66722988505747e-10
"41",40,7.64666666666667e-05,1.59625747126437e-09,0.000141966666666667,5.18954022988506e-11,0.00140286666666667,4.76487816091954e-09,0.0002709,4.94989655172414e-10
"42",41,7.72e-05,1.7520275862069e-09,0.0001463,2.65113793103448e-10,0.00141553333333333,8.14887816091954e-09,0.000267066666666667,3.30685057471264e-10
"43",42,6.99666666666667e-05,1.34451609195402e-09,0.000142966666666667,6.92057471264368e-11,0.00139603333333333,4.23417126436782e-09,0.000264733333333333,2.57098850574712e-10
"44",43,7.48e-05,1.91878620689655e-09,0.000143966666666667,1.23205747126437e-10,0.00140746666666667,4.79322298850575e-09,0.000273866666666667,9.01981609195402e-10
"45",44,8.08333333333333e-05,8.85316091954023e-10,0.000143233333333333,6.59781609195403e-11,0.00140743333333333,6.25818505747127e-09,0.0002697,3.55044827586207e-10
"46",45,7.29e-05,1.58071379310345e-09,0.000143833333333333,6.2764367816092e-11,0.00140766666666667,8.12098850574713e-09,0.0002665,4.40189655172414e-10
"47",46,6.79666666666667e-05,1.34906781609195e-09,0.000143566666666667,5.1012643678161e-11,0.0013983,4.43304482758621e-09,0.000265066666666667,1.88685057471264e-10
"48",47,8.46666666666667e-05,1.32229885057471e-09,0.000144533333333333,7.54298850574713e-11,0.00140563333333333,6.59658505747127e-09,0.000271633333333333,8.05136781609196e-10
"49",48,0.0001631,7.12519551724138e-08,0.000168966666666667,7.68654022988506e-10,0.0016447,7.79456655172414e-08,0.0003077,2.30663103448276e-09
"50",49,7.76666666666667e-05,1.31864367816092e-09,0.000145433333333333,7.28057471264368e-11,0.00139983333333333,4.64717816091954e-09,0.000263166666666667,1.21867816091954e-10
"51",50,8.39333333333333e-05,1.33627126436782e-09,0.000146,1.00344827586207e-10,0.0013935,5.23322413793103e-09,0.0002673,2.98837931034483e-10
"52",51,7.12333333333333e-05,7.8494367816092e-10,0.000145266666666667,1.21926436781609e-10,0.0014074,7.89473103448276e-09,0.000268533333333333,4.02671264367816e-10
"53",52,7.74e-05,7.56248275862069e-10,0.000144466666666667,4.3016091954023e-11,0.00139756666666667,6.37418505747127e-09,0.000265,3.90344827586207e-10
"54",53,9.36333333333333e-05,1.5374816091954e-09,0.0001483,1.93527586206897e-10,0.00139333333333333,3.6887816091954e-09,0.0002678,1.97268965517241e-10
"55",54,7.42e-05,1.88154482758621e-09,0.000147333333333333,1.09747126436782e-10,0.00139996666666667,6.77527471264368e-09,0.000265333333333333,1.61057471264368e-10
"56",55,7.57333333333333e-05,1.19316781609195e-09,0.0001506,2.96386206896552e-10,0.0014017,6.82090689655173e-09,0.000274666666666667,7.88229885057471e-10
"57",56,6.86333333333333e-05,9.45274712643678e-10,0.0001469,5.30586206896551e-11,0.0014197,8.6627e-09,0.0002679,3.00713793103448e-10
"58",57,7.66e-05,1.1096275862069e-09,0.000146233333333333,7.5219540229885e-11,0.00139343333333333,2.98763333333333e-09,0.000269433333333333,4.82529885057472e-10
"59",58,6.59666666666667e-05,9.35757471264368e-10,0.000147066666666667,1.23926436781609e-10,0.00139856666666667,5.39949540229885e-09,0.0002678,5.52303448275862e-10
"60",59,8.56666666666667e-05,9.23747126436782e-10,0.0001463,9.89758620689655e-11,0.00139303333333333,5.31010229885057e-09,0.000267,2.95379310344828e-10
"61",60,8.08e-05,9.34027586206897e-10,0.000147666666666667,7.45747126436781e-11,0.00140706666666667,7.03282298850575e-09,0.000265733333333333,3.09719540229885e-10
"62",61,9.41666666666667e-05,2.33379885057471e-09,0.0001474,6.17655172413793e-11,0.00140126666666667,4.84627126436782e-09,0.0002746,8.93903448275862e-10
"63",62,9.13e-05,1.15449310344828e-09,0.000149866666666667,1.53498850574713e-10,0.00139506666666667,5.30371954022988e-09,0.000268333333333333,3.88367816091954e-10
"64",63,7.79e-05,1.64154137931034e-09,0.000150433333333333,1.4797816091954e-10,0.0014455,9.82763793103448e-09,0.0002773,7.14768965517241e-10
"65",64,7.71666666666667e-05,1.19572988505747e-09,0.000151133333333333,2.11085057471264e-10,0.0014245,1.5167224137931e-08,0.0002984,2.66249379310345e-08
"66",65,0.000121933333333333,1.14960643678161e-08,0.000174966666666667,9.08791954022989e-10,0.00171656666666667,1.98241288505747e-07,0.0004065,2.46497982758621e-07
"67",66,9.66e-05,1.07148965517241e-09,0.0001546,2.73765517241379e-10,0.0014463,1.90169068965517e-08,0.000270666666666667,5.68781609195402e-10
"68",67,7.84666666666667e-05,1.55356781609195e-09,0.000155233333333333,4.01909195402299e-10,0.00146783333333333,4.97335229885057e-08,0.000286733333333333,3.27820229885057e-09
"69",68,7.81666666666667e-05,2.42490229885057e-09,0.000155366666666667,4.9934367816092e-10,0.00142363333333333,1.99968609195402e-08,0.0002732,6.81820689655172e-10
"70",69,7.67666666666667e-05,1.60549540229885e-09,0.000158633333333333,6.73412643678161e-10,0.00143966666666667,1.6015816091954e-08,0.000273233333333333,1.07832298850575e-09
"71",70,7.13333333333333e-05,1.15464367816092e-09,0.000150233333333333,9.37022988505747e-11,0.00139383333333333,4.71545402298851e-09,0.000268333333333333,2.8016091954023e-10
