algorithm, size, time
quickSelect, 100, 0.000018
quickSelect, 100, 0.000018
quickSelect, 100, 0.000018
quickSelect, 100, 0.000018
quickSelect, 100, 0.000018
quickSelect, 100, 0.000019
quickSelect, 100, 0.000020
quickSelect, 100, 0.000019
quickSelect, 100, 0.000019
quickSelect, 100, 0.000020
quickSelect, 100, 0.000019
quickSelect, 100, 0.000018
quickSelect, 100, 0.000019
quickSelect, 100, 0.000018
quickSelect, 100, 0.000019
quickSelect, 100, 0.000018
quickSelect, 100, 0.000018
quickSelect, 100, 0.000018
quickSelect, 100, 0.000018
quickSelect, 100, 0.000018
quickSelect, 111, 0.000022
quickSelect, 111, 0.000023
quickSelect, 111, 0.000022
quickSelect, 111, 0.000023
quickSelect, 111, 0.000023
quickSelect, 111, 0.000023
quickSelect, 111, 0.000023
quickSelect, 111, 0.000022
quickSelect, 111, 0.000022
quickSelect, 111, 0.000022
quickSelect, 111, 0.000022
quickSelect, 111, 0.000023
quickSelect, 111, 0.000022
quickSelect, 111, 0.000022
quickSelect, 111, 0.000022
quickSelect, 111, 0.000022
quickSelect, 111, 0.000022
quickSelect, 111, 0.000022
quickSelect, 111, 0.000023
quickSelect, 111, 0.000023
quickSelect, 124, 0.000028
quickSelect, 124, 0.000032
quickSelect, 124, 0.000028
quickSelect, 124, 0.000027
quickSelect, 124, 0.000027
quickSelect, 124, 0.000028
quickSelect, 124, 0.000027
quickSelect, 124, 0.000027
quickSelect, 124, 0.000027
quickSelect, 124, 0.000028
quickSelect, 124, 0.000027
quickSelect, 124, 0.000028
quickSelect, 124, 0.000028
quickSelect, 124, 0.000030
quickSelect, 124, 0.000029
quickSelect, 124, 0.000027
quickSelect, 124, 0.000027
quickSelect, 124, 0.000028
quickSelect, 124, 0.000028
quickSelect, 124, 0.000035
quickSelect, 138, 0.000043
quickSelect, 138, 0.000069
quickSelect, 138, 0.000043
quickSelect, 138, 0.000043
quickSelect, 138, 0.000050
quickSelect, 138, 0.000043
quickSelect, 138, 0.000041
quickSelect, 138, 0.000040
quickSelect, 138, 0.000052
quickSelect, 138, 0.000049
quickSelect, 138, 0.000040
quickSelect, 138, 0.000040
quickSelect, 138, 0.000040
quickSelect, 138, 0.000040
quickSelect, 138, 0.000037
quickSelect, 138, 0.000037
quickSelect, 138, 0.000037
quickSelect, 138, 0.000037
quickSelect, 138, 0.000104
quickSelect, 138, 0.000037
quickSelect, 154, 0.000046
quickSelect, 154, 0.000046
quickSelect, 154, 0.000046
quickSelect, 154, 0.000047
quickSelect, 154, 0.000043
quickSelect, 154, 0.000043
quickSelect, 154, 0.000043
quickSelect, 154, 0.000043
quickSelect, 154, 0.000043
quickSelect, 154, 0.000042
quickSelect, 154, 0.000043
quickSelect, 154, 0.000043
quickSelect, 154, 0.000043
quickSelect, 154, 0.000043
quickSelect, 154, 0.000045
quickSelect, 154, 0.000044
quickSelect, 154, 0.000043
quickSelect, 154, 0.000044
quickSelect, 154, 0.000041
quickSelect, 154, 0.000043
quickSelect, 172, 0.000052
quickSelect, 172, 0.000051
quickSelect, 172, 0.000051
quickSelect, 172, 0.000053
quickSelect, 172, 0.000052
quickSelect, 172, 0.000054
quickSelect, 172, 0.000052
quickSelect, 172, 0.000051
quickSelect, 172, 0.000051
quickSelect, 172, 0.000052
quickSelect, 172, 0.000051
quickSelect, 172, 0.000051
quickSelect, 172, 0.000052
quickSelect, 172, 0.000050
quickSelect, 172, 0.000051
quickSelect, 172, 0.000050
quickSelect, 172, 0.000050
quickSelect, 172, 0.000050
quickSelect, 172, 0.000050
quickSelect, 172, 0.000052
quickSelect, 192, 0.000066
quickSelect, 192, 0.000066
quickSelect, 192, 0.000064
quickSelect, 192, 0.000062
quickSelect, 192, 0.000062
quickSelect, 192, 0.000063
quickSelect, 192, 0.000062
quickSelect, 192, 0.000062
quickSelect, 192, 0.000063
quickSelect, 192, 0.000063
quickSelect, 192, 0.000063
quickSelect, 192, 0.000062
quickSelect, 192, 0.000062
quickSelect, 192, 0.000062
quickSelect, 192, 0.000064
quickSelect, 192, 0.000065
quickSelect, 192, 0.000065
quickSelect, 192, 0.000067
quickSelect, 192, 0.000063
quickSelect, 192, 0.000064
quickSelect, 214, 0.000078
quickSelect, 214, 0.000080
quickSelect, 214, 0.000077
quickSelect, 214, 0.000080
quickSelect, 214, 0.000077
quickSelect, 214, 0.000078
quickSelect, 214, 0.000077
quickSelect, 214, 0.000079
quickSelect, 214, 0.000080
quickSelect, 214, 0.000081
quickSelect, 214, 0.000082
quickSelect, 214, 0.000082
quickSelect, 214, 0.000084
quickSelect, 214, 0.000080
quickSelect, 214, 0.000085
quickSelect, 214, 0.000080
quickSelect, 214, 0.000081
quickSelect, 214, 0.000076
quickSelect, 214, 0.000082
quickSelect, 214, 0.000078
quickSelect, 239, 0.000097
quickSelect, 239, 0.000097
quickSelect, 239, 0.000096
quickSelect, 239, 0.000095
quickSelect, 239, 0.000095
quickSelect, 239, 0.000097
quickSelect, 239, 0.000097
quickSelect, 239, 0.000100
quickSelect, 239, 0.000100
quickSelect, 239, 0.000104
quickSelect, 239, 0.000101
quickSelect, 239, 0.000096
quickSelect, 239, 0.000096
quickSelect, 239, 0.000095
quickSelect, 239, 0.000095
quickSelect, 239, 0.000096
quickSelect, 239, 0.000095
quickSelect, 239, 0.000097
quickSelect, 239, 0.000095
quickSelect, 239, 0.000095
quickSelect, 267, 0.000120
quickSelect, 267, 0.000118
quickSelect, 267, 0.000122
quickSelect, 267, 0.000124
quickSelect, 267, 0.000124
quickSelect, 267, 0.000125
quickSelect, 267, 0.000119
quickSelect, 267, 0.000119
quickSelect, 267, 0.000118
quickSelect, 267, 0.000118
quickSelect, 267, 0.000119
quickSelect, 267, 0.000121
quickSelect, 267, 0.000119
quickSelect, 267, 0.000119
quickSelect, 267, 0.000118
quickSelect, 267, 0.000121
quickSelect, 267, 0.000119
quickSelect, 267, 0.000120
quickSelect, 267, 0.000122
quickSelect, 267, 0.000122
quickSelect, 298, 0.000154
quickSelect, 298, 0.000152
quickSelect, 298, 0.000147
quickSelect, 298, 0.000147
quickSelect, 298, 0.000149
quickSelect, 298, 0.000151
quickSelect, 298, 0.000147
quickSelect, 298, 0.000147
quickSelect, 298, 0.000147
quickSelect, 298, 0.000146
quickSelect, 298, 0.000146
quickSelect, 298, 0.000146
quickSelect, 298, 0.000149
quickSelect, 298, 0.000151
quickSelect, 298, 0.000155
quickSelect, 298, 0.000155
quickSelect, 298, 0.000154
quickSelect, 298, 0.000148
quickSelect, 298, 0.000148
quickSelect, 298, 0.000149
quickSelect, 332, 0.000184
quickSelect, 332, 0.000182
quickSelect, 332, 0.000181
quickSelect, 332, 0.000180
quickSelect, 332, 0.000184
quickSelect, 332, 0.000185
quickSelect, 332, 0.000183
quickSelect, 332, 0.000183
quickSelect, 332, 0.000183
quickSelect, 332, 0.000183
quickSelect, 332, 0.000188
quickSelect, 332, 0.000189
quickSelect, 332, 0.000192
quickSelect, 332, 0.000185
quickSelect, 332, 0.000187
quickSelect, 332, 0.000181
quickSelect, 332, 0.000182
quickSelect, 332, 0.000181
quickSelect, 332, 0.000181
quickSelect, 332, 0.000188
quickSelect, 371, 0.000226
quickSelect, 371, 0.000230
quickSelect, 371, 0.000225
quickSelect, 371, 0.000226
quickSelect, 371, 0.000232
quickSelect, 371, 0.000235
quickSelect, 371, 0.000236
quickSelect, 371, 0.000228
quickSelect, 371, 0.000226
quickSelect, 371, 0.000234
quickSelect, 371, 0.000232
quickSelect, 371, 0.000226
quickSelect, 371, 0.000225
quickSelect, 371, 0.000238
quickSelect, 371, 0.000229
quickSelect, 371, 0.000226
quickSelect, 371, 0.000227
quickSelect, 371, 0.000225
quickSelect, 371, 0.000233
quickSelect, 371, 0.000238
quickSelect, 414, 0.000306
quickSelect, 414, 0.000316
quickSelect, 414, 0.000300
quickSelect, 414, 0.000281
quickSelect, 414, 0.000280
quickSelect, 414, 0.000281
quickSelect, 414, 0.000295
quickSelect, 414, 0.000284
quickSelect, 414, 0.000288
quickSelect, 414, 0.000281
quickSelect, 414, 0.000280
quickSelect, 414, 0.000284
quickSelect, 414, 0.000289
quickSelect, 414, 0.000290
quickSelect, 414, 0.000296
quickSelect, 414, 0.000289
quickSelect, 414, 0.000282
quickSelect, 414, 0.000281
quickSelect, 414, 0.000286
quickSelect, 414, 0.000285
quickSelect, 461, 0.000363
quickSelect, 461, 0.000352
quickSelect, 461, 0.000349
quickSelect, 461, 0.000346
quickSelect, 461, 0.000346
quickSelect, 461, 0.000346
quickSelect, 461, 0.000347
quickSelect, 461, 0.000359
quickSelect, 461, 0.000357
quickSelect, 461, 0.000364
quickSelect, 461, 0.000359
quickSelect, 461, 0.000347
quickSelect, 461, 0.000350
quickSelect, 461, 0.000355
quickSelect, 461, 0.000359
quickSelect, 461, 0.000361
quickSelect, 461, 0.000347
quickSelect, 461, 0.000347
quickSelect, 461, 0.000353
